name,aliases,kind,ra,dec,maj_arcmin,min_arcmin,s1400_jy,hi_emitter,dist_mpc,hi_mass_msun,vsys_kms,w50_kms,notes
NGC 4631,Whale Galaxy,galaxy,12 42 08.0,+32 32 29,15.0,3.0,1.2,1,7.4,5.8e9,606,290,Tidally disturbed with a huge HI envelope
NGC 4565,Needle Galaxy,galaxy,12 36 20.8,+25 59 16,16.0,2.0,0.3,1,11.9,8.0e9,1230,490,
NGC 2841,,galaxy,09 22 02.6,+50 58 35,8.0,3.5,0.3,1,14.1,4.0e9,638,590,
NGC 3079,,galaxy,10 01 57.8,+55 40 47,8.0,1.5,0.8,1,17.7,6.0e9,1116,470,
NGC 5907,,galaxy,15 15 53.8,+56 19 44,13.0,1.7,0.2,1,16.8,6.0e9,667,460,
NGC 2903,,galaxy,09 32 10.1,+21 30 03,12.0,6.0,0.4,1,8.9,2.8e9,556,380,
NGC 3184,,galaxy,10 18 16.9,+41 25 28,7.0,7.0,0.2,1,11.7,2.9e9,592,180,
M74,NGC 628,galaxy,01 36 41.7,+15 47 01,10.0,9.0,0.3,1,9.8,4.0e9,657,90,
M77,NGC 1068,galaxy,02 42 40.7,-00 00 47.8,7.0,6.0,4.8,1,13.7,2.8e9,1137,300,Seyfert 2 with a strong compact nucleus
Large Magellanic Cloud,LMC,galaxy,05 23 34.5,-69 45 22,650.0,550.0,400,1,0.050,4.8e8,278,80,Southern. Listed to show the declination cut
Small Magellanic Cloud,SMC,galaxy,00 52 44.8,-72 49 43,320.0,185.0,120,1,0.062,4.0e8,158,90,Southern. Listed to show the declination cut
Sculptor Galaxy,NGC 253,galaxy,00 47 33.1,-25 17 18,27.0,7.0,6.0,1,3.5,2.0e9,243,400,Southern
HVC Complex C,,hvc,13 00 00.0,+60 00 00,3000.0,1200.0,0,1,,,-150,60,High-velocity cloud spanning tens of degrees. Peak brightness only ~1 K
